timestamp,lat,long,value1
1664742625.47141,-89, -180, 42642404229.6992
1664742625.47141,-89, -175, 42650405646.16944
1664742625.47141,-89, -170, 42663478526.55583
1664742625.47141,-89, -165, 42691458537.86543
1664742625.47141,-89, -160, 42722291979.6223
1664742625.47141,-89, -155, 42742876776.72884
1664742625.47141,-89, -150, 42764629679.39341
1664742625.47141,-89, -145, 42798472209.543045
1664742625.47141,-89, -140, 42832694970.0115
1664742625.47141,-89, -135, 42855022464.321495
1664742625.47141,-89, -130, 42876780855.43364
1664742625.47141,-89, -125, 42909425663.89951
1664742625.47141,-89, -120, 42940488250.64867
1664742625.47141,-89, -115, 42957012499.21365
1664742625.47141,-89, -110, 42970809063.666336
1664742625.47141,-89, -105, 42993791766.67984
1664742625.47141,-89, -100, 43013345817.90687
1664742625.47141,-89, -95, 43015819897.62366
1664742625.47141,-89, -90, 43015341072.23058
1664742625.47141,-89, -85, 43027835819.43892
1664742625.47141,-89, -80, 43035581297.83205
1664742625.47141,-89, -75, 43017868082.646454
1664742625.47141,-89, -70, 42997234260.3246
1664742625.47141,-89, -65, 42997992721.701416
1664742625.47141,-89, -60, 42995861048.42533
1664742625.47141,-89, -55, 42966779272.67608
1664742625.47141,-89, -50, 42929726878.25103
1664742625.47141,-89, -45, 42897922311.510086
1664742625.47141,-89, -40, 42865816058.68877
1664742625.47141,-89, -35, 42831665540.28866
1664742625.47141,-89, -30, 42797492578.19992
1664742625.47141,-89, -25, 42764830913.316185
1664742625.47141,-89, -20, 42733422126.51024
1664742625.47141,-89, -15, 42702999596.55606
1664742625.47141,-89, -10, 42674903605.500145
1664742625.47141,-89, -5, 42650314650.678535
1664742625.47141,-89, 0, 42629103558.20706
1664742625.47141,-89, 5, 42611239292.126884
1664742625.47141,-89, 10, 42597093720.99367
1664742625.47141,-89, 15, 42589242873.55064
1664742625.47141,-89, 20, 42580478315.02904
1664742625.47141,-89, 25, 42558781128.09306
1664742625.47141,-89, 30, 42541012577.10331
1664742625.47141,-89, 35, 42544924340.388695
1664742625.47141,-89, 40, 42552842034.98549
1664742625.47141,-89, 45, 42548039470.64482
1664742625.47141,-89, 50, 42545546851.606125
1664742625.47141,-89, 55, 42559204677.23913
1664742625.47141,-89, 60, 42574248101.44175
1664742625.47141,-89, 65, 42576102316.309456
1664742625.47141,-89, 70, 42578335581.650826
1664742625.47141,-89, 75, 42593542318.50626
1664742625.47141,-89, 80, 42608913514.24822
1664742625.47141,-89, 85, 42614587140.59734
1664742625.47141,-89, 90, 42614905196.370094
1664742625.47141,-89, 95, 42608213472.76615
1664742625.47141,-89, 100, 42603300361.09943
1664742625.47141,-89, 105, 42613538327.992134
1664742625.47141,-89, 110, 42622049458.259514
1664742625.47141,-89, 115, 42610409248.315636
1664742625.47141,-89, 120, 42597859826.075584
1664742625.47141,-89, 125, 42600492232.449844
1664742625.47141,-89, 130, 42606685952.78815
1664742625.47141,-89, 135, 42609660862.59792
1664742625.47141,-89, 140, 42611714665.32359
1664742625.47141,-89, 145, 42612546460.6024
1664742625.47141,-89, 150, 42613259175.22715
1664742625.47141,-89, 155, 42614957520.37614
1664742625.47141,-89, 160, 42617256650.49645
1664742625.47141,-89, 165, 42619358984.62376
1664742625.47141,-89, 170, 42623404004.1345
1664742625.47141,-89, 175, 42631953644.268585
1664742625.47141,-89, 180, 42642404229.6992
1664742625.47141,-86.5, -180, 48224115970.58728
1664742625.47141,-86.5, -175, 48149110080.65447
1664742625.47141,-86.5, -170, 48141840461.40632
1664742625.47141,-86.5, -165, 48288874108.98147
1664742625.47141,-86.5, -160, 48495638415.32569
1664742625.47141,-86.5, -155, 48574835981.36226
1664742625.47141,-86.5, -150, 48685737856.33963
1664742625.47141,-86.5, -145, 48984150422.54353
1664742625.47141,-86.5, -140, 49316738551.92277
1664742625.47141,-86.5, -135, 49482772719.83526
1664742625.47141,-86.5, -130, 49664771940.120186
1664742625.47141,-86.5, -125, 50043510104.80539
1664742625.47141,-86.5, -120, 50435725194.89834
1664742625.47141,-86.5, -115, 50618682257.69763
1664742625.47141,-86.5, -110, 50792969773.955376
1664742625.47141,-86.5, -105, 51161111757.10991
1664742625.47141,-86.5, -100, 51519117018.57999
1664742625.47141,-86.5, -95, 51622447647.20035
1664742625.47141,-86.5, -90, 51704374314.07562
1664742625.47141,-86.5, -85, 52014335112.43165
1664742625.47141,-86.5, -80, 52301860611.2907
1664742625.47141,-86.5, -75, 52258825182.86557
1664742625.47141,-86.5, -70, 52190187500.26487
1664742625.47141,-86.5, -65, 52426095449.700676
1664742625.47141,-86.5, -60, 52647876316.641396
1664742625.47141,-86.5, -55, 52513093633.05042
1664742625.47141,-86.5, -50, 52270747082.90229
1664742625.47141,-86.5, -45, 52094006317.73352
1664742625.47141,-86.5, -40, 51911939951.98398
1664742625.47141,-86.5, -35, 51704043286.11125
1664742625.47141,-86.5, -30, 51494763387.57702
1664742625.47141,-86.5, -25, 51304555732.40206
1664742625.47141,-86.5, -20, 51126577291.05222
1664742625.47141,-86.5, -15, 50953701236.721146
1664742625.47141,-86.5, -10, 50804963398.07316
1664742625.47141,-86.5, -5, 50697668034.232056
1664742625.47141,-86.5, 0, 50626652569.38588
1664742625.47141,-86.5, 5, 50586495569.42796
1664742625.47141,-86.5, 10, 50588763941.47324
1664742625.47141,-86.5, 15, 50688232748.35187
1664742625.47141,-86.5, 20, 50743704374.71432
1664742625.47141,-86.5, 25, 50528962239.36593
1664742625.47141,-86.5, 30, 50362402769.221565
1664742625.47141,-86.5, 35, 50556500285.494194
1664742625.47141,-86.5, 40, 50785646053.81506
1664742625.47141,-86.5, 45, 50731092039.61784
1664742625.47141,-86.5, 50, 50699925563.67963
1664742625.47141,-86.5, 55, 50954995851.8436
1664742625.47141,-86.5, 60, 51213374140.21533
1664742625.47141,-86.5, 65, 51191003357.71374
1664742625.47141,-86.5, 70, 51163451625.46488
1664742625.47141,-86.5, 75, 51363794960.51673
1664742625.47141,-86.5, 80, 51544569877.362144
1664742625.47141,-86.5, 85, 51490518065.47359
1664742625.47141,-86.5, 90, 51347003163.12188
1664742625.47141,-86.5, 95, 51162666348.30299
1664742625.47141,-86.5, 100, 51004622053.36587
1664742625.47141,-86.5, 105, 50974427914.9098
1664742625.47141,-86.5, 110, 50909738901.066
1664742625.47141,-86.5, 115, 50621597042.66381
1664742625.47141,-86.5, 120, 50338904577.88691
1664742625.47141,-86.5, 125, 50154734486.143105
1664742625.47141,-86.5, 130, 49988023085.045944
1664742625.47141,-86.5, 135, 49789811146.385765
1664742625.47141,-86.5, 140, 49580824285.080956
1664742625.47141,-86.5, 145, 49364443458.46287
1664742625.47141,-86.5, 150, 49148641738.96952
1664742625.47141,-86.5, 155, 48941694121.7225
1664742625.47141,-86.5, 160, 48747125720.448494
1664742625.47141,-86.5, 165, 48565792053.10096
1664742625.47141,-86.5, 170, 48412301131.53527
1664742625.47141,-86.5, 175, 48302693103.81844
1664742625.47141,-86.5, 180, 48224115970.586655
1664742625.47141,-84.0, -180, 58822500520.62246
1664742625.47141,-84.0, -175, 58480502560.72849
1664742625.47141,-84.0, -170, 58361459302.956474
1664742625.47141,-84.0, -165, 58640182249.38047
1664742625.47141,-84.0, -160, 59026654318.81293
1664742625.47141,-84.0, -155, 59191624132.91219
1664742625.47141,-84.0, -150, 59465976668.01527
1664742625.47141,-84.0, -145, 60170990863.51818
1664742625.47141,-84.0, -140, 60964528105.52735
1664742625.47141,-84.0, -135, 61497678802.058174
1664742625.47141,-84.0, -130, 62113717151.6416
1664742625.47141,-84.0, -125, 63170388566.93546
1664742625.47141,-84.0, -120, 64283557116.77881
1664742625.47141,-84.0, -115, 65052395389.608475
1664742625.47141,-84.0, -110, 65838659164.12217
1664742625.47141,-84.0, -105, 67029295530.90188
1664742625.47141,-84.0, -100, 68217808816.699554
1664742625.47141,-84.0, -95, 68962251763.56561
1664742625.47141,-84.0, -90, 69663275204.87292
1664742625.47141,-84.0, -85, 70768907385.23044
1664742625.47141,-84.0, -80, 71830334168.80412
1664742625.47141,-84.0, -75, 72378949107.55441
1664742625.47141,-84.0, -70, 72803872639.29077
1664742625.47141,-84.0, -65, 73506008758.9913
1664742625.47141,-84.0, -60, 74122658322.05357
1664742625.47141,-84.0, -55, 74339701797.41759
1664742625.47141,-84.0, -50, 74335245203.6097
1664742625.47141,-84.0, -45, 74195682478.39676
1664742625.47141,-84.0, -40, 73939325701.0419
1664742625.47141,-84.0, -35, 73617964341.75708
1664742625.47141,-84.0, -30, 73251006881.53363
1664742625.47141,-84.0, -25, 72880523318.53564
1664742625.47141,-84.0, -20, 72504528546.23734
1664742625.47141,-84.0, -15, 72119402672.85345
1664742625.47141,-84.0, -10, 71770939858.39511
1664742625.47141,-84.0, -5, 71497309617.76772
1664742625.47141,-84.0, 0, 71310802055.33214
