Time,Band,Lat,Lon
2022-10-02 13:36:00,80m,50.188,5.4165
2022-10-02 13:36:00,80m,49.896,5.875
2022-10-02 13:36:00,80m,51.2295,2.6665
2022-10-02 13:36:00,80m,50.9375,3.125
2022-10-02 13:36:00,80m,51.6045,0.2915
2022-10-02 13:36:00,80m,57.646,-3.833
2022-10-02 13:36:00,80m,-39.729,146.625
2022-10-02 13:36:00,80m,-39.896,160.958
2022-10-02 13:38:00,80m,31.8335,-97.25
2022-10-02 13:38:00,80m,38.0625,-78.5
2022-10-02 13:38:00,80m,43.5,-117.2085
2022-10-02 13:38:00,80m,38.021,-78.917
2022-10-02 13:38:00,80m,50.2085,7.458
2022-10-02 13:38:00,80m,38.9375,-78.125
2022-10-02 13:38:00,80m,39.5835,-77.042
2022-10-02 13:38:00,80m,38.4585,-81.833
2022-10-02 13:38:00,80m,38.021,-78.583
2022-10-02 13:38:00,80m,41.8335,-73.0415
2022-10-02 13:38:00,80m,38.917,-77.1665
2022-10-02 13:38:00,80m,38.9795,-76.9585
2022-10-02 13:38:00,80m,38.3335,-78.0415
2022-10-02 13:38:00,80m,38.0835,-78.25
2022-10-02 13:38:00,80m,36.3755,-110.4165
2022-10-02 13:38:00,80m,41.292,-73.375
2022-10-02 13:38:00,80m,37.438,-78.4585
2022-10-02 13:38:00,80m,36.7505,-79.9585
2022-10-02 13:38:00,80m,36.792,-79.5415
2022-10-02 13:38:00,80m,36.0005,-112.8335
2022-10-02 13:38:00,80m,41.4585,-73.0835
2022-10-02 13:38:00,80m,43.7295,-70.25
2022-10-02 13:38:00,80m,39.563,-76.0835
2022-10-02 13:38:00,80m,39.6875,-117.167
2022-10-02 13:36:00,60m,50.5835,6.75
2022-10-02 13:38:00,60m,56.5835,-4.2085
2022-10-02 13:38:00,60m,52.5415,10.417
2022-10-02 13:38:00,60m,49.625,8.375
2022-10-02 13:38:00,60m,50.5,4.583
2022-10-02 13:38:00,60m,56.5415,-4.75
2022-10-02 13:38:00,60m,49.3335,8.5
2022-10-02 13:38:00,60m,51.4165,-0.7085
2022-10-02 13:38:00,60m,50.229,3.333
2022-10-02 13:38:00,60m,49.146,8.125
2022-10-02 13:38:00,60m,52.5,4.125
2022-10-02 13:38:00,60m,48.9585,9.875
2022-10-02 13:38:00,60m,49.8335,6.083
2022-10-02 13:38:00,60m,49.25,8.917
2022-10-02 13:38:00,60m,51.854,3.9165
2022-10-02 13:38:00,60m,48.646,9.2085
2022-10-02 13:38:00,60m,49.729,10.375
2022-10-02 13:38:00,60m,50.979,7.7085
2022-10-02 13:38:00,60m,51.5415,3.958
2022-10-02 13:38:00,60m,49.25,10.042
2022-10-02 13:38:00,60m,51.521,2.875
2022-10-02 13:38:00,60m,49.6665,9.917
2022-10-02 13:38:00,60m,50.5415,6.125
