latitude, longitude, E-density
-89, -180, 42642404229.6992
-89, -175, 42650405646.16944
-89, -170, 42663478526.55583
-89, -165, 42691458537.86543
-89, -160, 42722291979.6223
-89, -155, 42742876776.72884
-89, -150, 42764629679.39341
-89, -145, 42798472209.543045
-89, -140, 42832694970.0115
-89, -135, 42855022464.321495
-89, -130, 42876780855.43364
-89, -125, 42909425663.89951
-89, -120, 42940488250.64867
-89, -115, 42957012499.21365
-89, -110, 42970809063.666336
-89, -105, 42993791766.67984
-89, -100, 43013345817.90687
-89, -95, 43015819897.62366
-89, -90, 43015341072.23058
-89, -85, 43027835819.43892
-89, -80, 43035581297.83205
-89, -75, 43017868082.646454
-89, -70, 42997234260.3246
-89, -65, 42997992721.701416
-89, -60, 42995861048.42533
-89, -55, 42966779272.67608
-89, -50, 42929726878.25103
-89, -45, 42897922311.510086
-89, -40, 42865816058.68877
-89, -35, 42831665540.28866
-89, -30, 42797492578.19992
-89, -25, 42764830913.316185
-89, -20, 42733422126.51024
-89, -15, 42702999596.55606
-89, -10, 42674903605.500145
-89, -5, 42650314650.678535
-89, 0, 42629103558.20706
-89, 5, 42611239292.126884
-89, 10, 42597093720.99367
-89, 15, 42589242873.55064
-89, 20, 42580478315.02904
-89, 25, 42558781128.09306
-89, 30, 42541012577.10331
-89, 35, 42544924340.388695
-89, 40, 42552842034.98549
-89, 45, 42548039470.64482
-89, 50, 42545546851.606125
-89, 55, 42559204677.23913
-89, 60, 42574248101.44175
-89, 65, 42576102316.309456
-89, 70, 42578335581.650826
-89, 75, 42593542318.50626
-89, 80, 42608913514.24822
-89, 85, 42614587140.59734
-89, 90, 42614905196.370094
-89, 95, 42608213472.76615
-89, 100, 42603300361.09943
-89, 105, 42613538327.992134
-89, 110, 42622049458.259514
-89, 115, 42610409248.315636
-89, 120, 42597859826.075584
-89, 125, 42600492232.449844
-89, 130, 42606685952.78815
-89, 135, 42609660862.59792
-89, 140, 42611714665.32359
-89, 145, 42612546460.6024
-89, 150, 42613259175.22715
-89, 155, 42614957520.37614
-89, 160, 42617256650.49645
-89, 165, 42619358984.62376
-89, 170, 42623404004.1345
-89, 175, 42631953644.268585
-89, 180, 42642404229.6992
-86.5, -180, 48224115970.58728
-86.5, -175, 48149110080.65447
-86.5, -170, 48141840461.40632
-86.5, -165, 48288874108.98147
-86.5, -160, 48495638415.32569
-86.5, -155, 48574835981.36226
-86.5, -150, 48685737856.33963
-86.5, -145, 48984150422.54353
